WKT,name,description
"POINT (17.1575131 48.1560999)",Komunitná záhrada Ostredky,Zodpovedná osoba: Ladislav Dudor
Email: zahradka@komuna.sk
Stránka: https://komuna.sk/
"POINT (17.058227 48.1496601)",Živé zrnko - komunitná záhrada,Email: zivezrnko@gmail.com
Stránka: https://www.facebook.com/zivezrnko/
"POINT (17.07274088526447 48.15066954047078)",Komunitná záhrada Prírodovedeckej fakulty UK,Zodpovedná osoba: Mgr. Slavomír Čerňanský, PhD.
Email: so@fns.uniba.sk
Telefón: +421260296111
Stránka: https://fns.uniba.sk/kontakt/
"POINT (17.104355134001267 48.12145243744752)",Komunitná záhrada DVORY,Email: zahrada.dvory@gmail.com
Stránka: https://www.facebook.com/zahradadvory/
"POINT (17.151290463894107 48.12311339268839)",Komunitná záhrada ROK v prírode,Zodpovedná osoba: Peter Príroda
Email: rokvprirode@gmail.com
Telefón: +421912345620
Stránka: https://sutazmania.sk/komunitn-z-hrada-rok-v-pr-rode-1047168887251778875/
"POINT (17.031373084762134 48.24023730321544)",Komunitná záhrada TV Markíza,Email: markiza@markiza.sk
Stránka: https://www.markiza.sk/
"POINT (17.149407740248428 48.21597306522807)",Obecná záhrada Rača,Zodpovedná osoba: Rudolf Kimlička
Email: rudolf.kimlicka@raca.sk
Telefón: +421903218091
Stránka: https://www.raca.sk/zivot-v-raci/kulturne-strediska/obecna-zahrada/
"POINT (17.1113435 48.1446099)",Zelená tržnica,Zodpovedná osoba: Pavol Murín
Email: palo@staratrznica.sk
Telefón: +421903437328
Stránka: https://staratrznica.sk/sk/zelena-trznica

"POINT (17.1157838 48.1356772)",Bike Kitchen Bratislava,Email: bikekitchen@gmail.com
Stránka: https://cyklokuchyna.criticalmass.sk/
"POINT (17.1179036 48.116199)",KoZa v Háji,Email: aclimathon@gmail.com
Stránka: www.kozavhaji.eu

